llavemod,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion
1259402101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1259503101,RECHAZADO,23,0.3,MODERADO,R004|R012,2,1,
1259604102,APROBADO,89,0.3,MODERADO,R001|R005|R012,3,1,
1259710101,APROBADO,98,0.3,MODERADO,R001|R005|R012,3,1,
1259810101,RECHAZADO,0,0.3,MODERADO,R002,1,0,
1259901102,RECHAZADO,53,0.3,MODERADO,R012,1,1,
1260001101,RECHAZADO,42,0.3,MODERADO,R001|R004,2,0,
1260114101,RECHAZADO,25,0.3,MODERADO,R004|R005,2,0,
1260204101,RECHAZADO,43,0.3,MODERADO,R001|R004,2,0,
1260314101,RECHAZADO,0,0.3,MODERADO,R002|R004,2,0,
1260401101,REVISION_MANUAL,69,0.3,MODERADO,R005|R012,2,1,
1260501101,RECHAZADO,32,0.3,MODERADO,,0,0,
1260611101,RECHAZADO,20,0.3,MODERADO,R002|R005,2,0,
1260720106,RECHAZADO,27,0.3,MODERADO,R010,1,0,
1260812102,RECHAZADO,38,0.3,MODERADO,,0,0,
1260902101,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,
1261003102,RECHAZADO,10,0.3,MODERADO,R004,1,0,
1261105101,RECHAZADO,40,0.3,MODERADO,,0,0,
1261201101,RECHAZADO,43,0.3,MODERADO,,0,0,
1261309104,RECHAZADO,32,0.3,MODERADO,,0,0,
1261402102,RECHAZADO,22,0.3,MODERADO,R004|R012,2,1,
1261515101,RECHAZADO,9,0.3,MODERADO,R002,1,0,
1261609102,RECHAZADO,0,0.3,MODERADO,R004|R010,2,0,
1261718101,REVISION_MANUAL,73,0.3,MODERADO,R003|R012,2,1,
1261804102,APROBADO,84,0.3,MODERADO,R001|R005,2,0,
1261917102,RECHAZADO,10,0.3,MODERADO,R004,1,0,
1262002105,RECHAZADO,17,0.3,MODERADO,R010,1,0,
1262104101,REVISION_MANUAL,60,0.3,MODERADO,R012,1,1,
1262201101,RECHAZADO,14,0.3,MODERADO,R002|R005,2,0,
1262314101,RECHAZADO,20,0.3,MODERADO,R004|R012,2,1,
