llaveviv,p0_1,p0_2,p0_3,p0_4_1,p0_4_1a,p0_4_2,p0_4_2a,p1_1,p1_2,p1_3,folio,viv_sel,ent,tloc,region,est_dis,upm_dis,fac_viv
571905,1,1,0,2,,2,,4,1,,5719,5,21,4,5,117,1411,4824
572017,1,3,1,1,1,2,,2,1,,5720,17,14,4,3,77,969,10589
572103,2,4,1,1,1,1,1,2,1,,5721,3,24,1,2,138,1611,1261
572202,4,5,2,1,1,1,1,5,1,,5722,2,2,1,1,10,100,3332
572316,1,2,1,1,1,2,,2,1,,5723,16,18,4,3,101,1215,1128
572401,3,6,1,2,,1,1,4,1,,5724,1,15,2,5,85,1060,7080
572511,1,5,1,2,,2,,2,1,,5725,11,16,4,3,89,1112,3033
572602,2,3,2,1,2,1,1,3,1,,5726,2,1,1,3,6,45,1681
572701,2,2,1,2,,1,1,5,1,,5727,1,4,1,6,23,248,707
572808,1,2,1,1,1,1,1,4,1,,5728,8,4,3,6,19,221,707
572906,3,4,1,1,1,1,1,4,1,,5729,6,13,3,5,68,928,1288
573010,2,2,0,2,,2,,4,1,,5730,10,16,4,3,89,1113,3018
573107,2,2,1,1,1,2,,4,1,,5731,7,29,4,5,167,1976,500
573204,3,4,0,2,,2,,4,1,,5732,4,20,4,6,111,1378,4169
573302,1,3,1,1,1,1,1,2,1,,5733,2,19,1,2,106,1262,3621
573408,3,6,1,1,2,1,1,4,1,,5734,8,25,2,1,142,1676,2626
573519,4,5,0,2,,2,,11,1,,5735,19,7,4,6,39,447,4920
573604,1,2,1,2,,2,,3,1,,5736,4,15,1,5,85,1040,12481
573701,2,4,1,1,2,1,1,4,1,,5737,1,26,1,1,152,1796,2266
573819,1,4,1,2,,2,,3,1,,5738,19,29,4,5,167,1974,661
573904,1,5,2,1,2,1,1,2,1,,5739,4,2,1,1,9,88,2583
574005,3,5,3,1,1,1,1,1,1,,5740,5,24,1,2,140,1657,1429
574119,2,3,1,2,,1,2,3,1,,5741,19,21,3,5,116,1406,6756
574203,3,4,1,2,,1,1,4,1,,5742,3,9,1,4,50,694,3633
574301,1,2,2,1,1,1,1,2,1,,5743,1,6,1,3,36,441,597
574419,2,3,1,1,1,2,,5,1,,5744,19,27,4,6,155,1819,1628
574502,3,5,3,1,1,1,1,4,1,,5745,2,19,1,2,108,1360,3148
574603,1,3,1,1,1,1,1,3,1,,5746,3,18,2,3,100,1209,1651
574717,3,5,0,2,,1,2,5,1,,5747,17,21,3,5,115,1404,6225
574802,3,4,2,1,2,1,1,5,1,,5748,2,26,1,1,152,1795,2279
574903,2,4,1,1,1,1,1,1,1,,5749,3,28,1,2,163,1940,1705
575003,3,4,1,2,,1,1,2,1,,5750,3,29,2,5,170,2014,1293
575105,4,5,2,1,1,1,1,3,1,,5751,5,14,1,3,80,1006,6870
575201,1,3,1,2,,1,1,2,1,,5752,1,30,2,5,176,2068,6666
575320,2,4,1,2,,1,1,4,1,,5753,20,29,3,5,166,1971,658
575401,3,5,2,1,1,1,1,4,1,,5754,1,15,1,5,86,1075,11783
575517,2,4,1,2,,1,1,7,1,,5755,17,17,2,5,94,1150,835
575601,3,4,2,2,,1,1,4,1,,5756,1,29,2,5,169,1989,1117
575705,3,4,0,2,,2,,6,1,,5757,5,20,4,6,111,1380,3726
575806,4,5,0,2,,2,,10,1,,5758,6,7,4,6,39,449,4091
575904,2,3,1,2,,1,1,1,1,,5759,4,15,1,5,85,1046,11818
576004,1,3,1,2,,1,1,3,1,,5760,4,2,1,1,9,86,2729
576101,4,6,1,2,,1,1,7,1,,5761,1,9,1,4,49,658,3100
576211,2,3,1,1,1,1,1,3,1,,5762,11,28,3,2,159,1844,2105
576302,2,3,1,2,,1,1,4,1,,5763,2,15,1,5,86,1083,9428
576402,2,4,1,2,,2,,4,1,,5764,2,20,4,6,111,1379,3848
576504,2,3,1,2,,2,,2,1,,5765,4,29,3,5,170,2025,979
576605,2,2,2,1,1,2,,3,1,,5766,5,19,4,2,105,1250,2996
576705,2,4,1,2,,1,1,3,1,,5767,5,1,1,3,5,28,1464
576801,3,5,2,1,1,1,1,4,1,,5768,1,13,3,5,68,926,4627
576917,1,2,0,2,,1,2,2,1,,5769,17,21,4,5,117,1412,4714
577003,2,4,1,2,,1,1,2,1,,5770,3,21,1,5,121,1439,4377
577104,2,5,1,1,1,1,1,4,1,,5771,4,22,1,3,128,1505,2103
577203,1,2,1,1,1,1,2,2,1,,5772,3,9,1,4,49,637,3623
577316,3,4,0,2,,2,,9,1,,5773,16,24,4,2,137,1599,1009
577404,1,1,1,2,,1,1,2,1,,5774,4,20,2,6,114,1402,3050
577504,2,3,1,2,,1,1,1,1,,5775,4,6,1,3,35,423,794
577601,1,2,0,2,,2,,6,1,,5776,1,12,3,6,61,877,2869
577705,2,4,1,2,,1,1,2,1,,5777,5,11,1,3,59,864,5348
577801,2,5,1,2,,1,1,2,1,,5778,1,9,1,4,50,691,3701
577914,3,5,1,1,2,1,1,5,1,,5779,14,24,2,2,135,1582,2162
578004,3,6,2,1,2,1,1,3,2,3,5780,4,24,1,2,139,1637,1272
578113,1,3,0,2,,2,,1,1,,5781,13,28,4,2,160,1846,1388
578205,1,5,0,2,,2,,1,1,,5782,5,10,1,1,54,809,1306
578315,1,3,1,2,,1,1,4,1,,5783,15,32,2,3,185,2139,1468
578419,1,2,1,2,,2,,3,1,,5784,19,25,4,1,143,1681,2188
578502,1,3,1,1,1,1,1,3,1,,5785,2,3,4,1,14,149,796
578604,1,2,1,1,1,1,1,3,1,,5786,4,2,1,1,10,120,2739
578702,3,4,2,1,1,1,1,3,1,,5787,2,15,1,5,85,1035,13117
578819,2,3,1,2,,2,,1,1,,5788,19,30,2,5,172,2035,8713
578902,1,3,1,1,1,1,1,1,1,,5789,2,21,1,5,121,1442,3818
579001,4,6,1,1,1,2,,4,1,,5790,1,2,1,1,9,82,2951
579105,2,5,1,2,,1,1,2,1,,5791,5,9,1,4,49,622,4001
579204,2,3,1,2,,1,1,2,1,,5792,4,9,1,4,50,697,3527
579305,2,4,2,1,1,1,1,2,1,,5793,5,14,1,3,80,1002,7693
579403,1,1,1,1,1,2,,1,1,,5794,3,9,1,4,49,678,1000
579502,1,2,1,2,,1,1,3,1,,5795,2,20,2,6,113,1392,3160
579603,3,5,2,2,,1,1,3,1,,5796,3,9,1,4,50,712,3409
579712,2,3,0,2,,1,1,5,1,,5797,12,11,4,3,57,836,4721
579804,1,2,1,2,,1,1,2,1,,5798,4,1,1,3,4,19,1284
579904,1,2,1,2,,2,,2,1,,5799,4,27,3,6,153,1813,2357
580005,3,4,2,1,1,1,1,4,1,,5800,5,19,1,2,108,1334,3752
580112,1,2,1,2,,1,1,4,1,,5801,12,25,4,1,143,1678,2442
580203,1,4,1,2,,1,1,2,1,,5802,3,2,1,1,9,94,2118
580303,2,4,1,1,1,1,1,4,2,2,5803,3,23,1,6,134,1571,2231
580403,2,4,3,1,1,1,1,3,1,,5804,3,24,1,2,139,1628,1338
580504,4,9,4,1,3,1,1,7,1,,5805,4,26,1,1,151,1768,2339
580604,4,6,1,1,1,1,1,8,1,,5806,4,24,1,2,138,1614,1185
580704,2,5,2,1,2,1,1,1,1,,5807,4,15,1,5,87,1098,11415
580806,2,3,1,2,,2,,5,1,,5808,6,18,4,3,101,1219,985
580918,2,3,1,1,2,1,1,3,1,,5809,18,8,4,1,43,484,2372
581005,2,5,1,2,,1,1,5,1,,5810,5,5,1,2,29,292,1711
