edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
42,500.0,150.0,2,1,2,Familiar,Consumo,9000.0,False,True,773001102,7730011,RECHAZADO,59,0.3,MODERADO,R001,1,0,,True,False,1,0
48,750.0,225.0,2,1,4,Propia,Consumo,10000.0,False,True,773402101,7734021,REVISION_MANUAL,62,0.3,MODERADO,R001|R005|R010,3,0,,True,False,1,0
19,7000.0,2100.0,2,0,1,Familiar,Consumo,10000.0,True,True,773905102,7739051,RECHAZADO,43,0.3,MODERADO,R001|R004|R009|R012,4,1,,True,False,1,0
46,2500.0,750.0,2,0,3,Propia,Consumo,10000.0,True,True,776204102,7762041,REVISION_MANUAL,66,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
55,700.0,210.0,2,4,4,Familiar,Consumo,10000.0,False,True,776603101,7766031,RECHAZADO,57,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
18,2000.0,600.0,2,0,1,Familiar,Consumo,10000.0,True,True,778305103,7783051,RECHAZADO,29,0.3,MODERADO,R001|R004|R009,3,0,,True,False,1,0
57,1500.0,450.0,2,1,0,Familiar,Consumo,10000.0,False,True,779208101,7792081,REVISION_MANUAL,61,0.3,MODERADO,R001,1,0,,True,False,1,0
26,600.0,180.0,2,2,1,Familiar,Consumo,10000.0,False,True,780102101,7801021,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
53,2200.0,660.0,2,4,1,Familiar,Consumo,10000.0,False,True,781302101,7813021,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
42,1000.0,300.0,2,1,1,Familiar,Negocio,12000.0,False,True,781820101,7818201,REVISION_MANUAL,73,0.3,MODERADO,R001|R006,2,0,,True,False,1,0
58,2500.0,750.0,2,0,0,Familiar,Consumo,10000.0,True,True,782010101,7820101,RECHAZADO,53,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
40,900.0,270.0,2,4,5,Familiar,Negocio,12000.0,False,True,783004103,7830041,REVISION_MANUAL,69,0.3,MODERADO,R001|R006|R010,3,0,,True,False,1,0
29,3000.0,900.0,2,1,1,Familiar,Consumo,10000.0,False,True,784003101,7840031,REVISION_MANUAL,72,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
24,2800.0,840.0,2,2,2,Familiar,Consumo,10000.0,False,True,785005102,7850051,REVISION_MANUAL,78,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
30,2000.0,600.0,2,2,1,Familiar,Consumo,10000.0,False,True,785403101,7854031,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
43,1000.0,300.0,2,1,4,Familiar,Consumo,10000.0,False,True,786319101,7863191,RECHAZADO,47,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
